index,merchant_id,averagediscount
0,5357bcf2bb72c5504882e889,54
1,5708773c3c02161b3f8c7900,61
2,5417aada4ad3ab27e954b76c,-1
3,570f3a713a698c14278bb51e,71
4,53082ea15aefb07dfe1f2a4f,85
5,53f2beb39020ee03566d6e18,88
6,5926c5ace8ff5525241b368d,-4
7,5860c757b1e41d4d67d183e8,11
8,52bd3ddb34067e4620a4c62d,33
9,5a7b23a69bda4e3d375e7b3f,-7
10,53a2a09ad91139519161a267,86
11,539937d634067e06707b1a8e,87
12,58ad449708de0c6dc59d9e06,-4
13,56e43d9e3a698c3826a5feff,-8
14,53aa664438d3046ee44a5024,86
15,53facca81c105e3d5866e212,58
16,5384613a796f680f9d78a127,-14
17,558c2cdc89d53c4005ea2920,1
18,55c8a4c33a698c6010edcd9e,-3
19,58106cfce516491e6e5f1e53,-8
20,5acaf29d5ebcfd72403106a8,-4
21,54af9c1428565a151043b6bf,-9
22,557ed5b886d66519ff242099,-9
23,57568f454054c95cbd8d1619,86
24,5652f4053a698c76dc9a3f37,-16
25,5542fcb264b4f014ce88ecae,34
26,58ad356108de0c6dc39d979d,0
27,544867549719cd33de1048d5,91
28,54bcaabb39b8c00b482a115f,89
29,58c0fff96ecaa3523d59a24d,0
30,572d45c708fad86678ca1938,58
31,570b67d4a9dc12590be93b79,0
32,57e5db02e7f40f131adeeaf8,-12
33,5639cd9bddb94f103070ef9f,67
34,5533c83986ff95173dc017d0,-8
35,58fdedf645f9b210f58c00cc,17
36,578866243a698c1713f2d19c,-5
37,55c8029641d799421d41fe3a,17
38,5c51b9b468178729c4213657,-3
39,576bbb443a698c085103c010,73
40,53db691bd911395c8b2f92be,22
41,5760bd976238335e38551943,-14
42,564d8a9ac0f55a1276cd96f8,46
43,566012f6769a5629aefca555,7
44,57b03628c676b3573ba2a081,39
45,559d33adc605853731afbf10,-12
46,58330d7def56284f7634e5e5,-10
47,56dce88d21396a16a47eff39,91
48,5705e40cfda6252c1a9db062,-11
49,5c74e493a0e25750b550e2a1,-2
50,594756ab53ebe27caad41157,55
51,576cfeed007b536be4a9ae96,2
52,583138b06339b410ab9663ec,18
53,5c7893301bcc452c015b5de4,-11
54,5763e55cc6053f5e70522ad7,17
55,5aa1f31308a2240a052e9a1a,-14
56,5cb636dda7173671aedef051,-15
57,5b160017daac45594728d9ba,-8
58,58d109c5e3830f6bcb47e35d,42
59,5660e53e769a564b3e3aeca0,-6
60,5800a8bb50d8ab5aaee15f20,-14
61,55cc4e1d845591103477a561,69
62,55ed5a3362e273427107759e,25
63,5bd29797d32ed5241007af46,-14
64,5ba2251b4315d12ebce873fa,68
65,56458aa03a698c35c9050988,38
66,58131ddf6f55296033923a7c,86
67,55769de4fa0be7249554bce2,-13
68,58b011e82e27bf506cee1ace,-12
69,53e03f56ff4d6d36d2285ab0,92
70,59c8a909ae228e37ae159559,31
71,556fc80f95528719e004fe8b,-13
72,563c5b3d05398a37780be2e2,90
73,577fb2b368116418674befd9,-3
74,5ab3b592c3911a095ad5dadb,1
75,56455b13b15aab129db58cb7,-15
76,5406c9c77f086e1be430d73e,-3
77,59b7d6e1eea5c510889ea754,58
78,5b507899ab577736508a0782,42
79,5810aa5bde5bf01b645c909e,4
80,56c6f731bc435416ed5984d7,39
81,5a018060448a526b450ddab8,-6
82,57864d704d669274929898fb,51
83,584c23fbef56286074d2c9a6,-16
